Time Interval,F1,F2,F3,F4,F5,F6
2099,0,0,0,0,0,0
2100,0,0,0,0,0,0
2101,0,0,0,0,0,0
2102,0,0,0,0,0,0
2103,0,0,0,0,0,0
2104,0,0,0,0,0,0
2105,0,0,0,0,0,0
2106,0,0,0,0,0,0
2107,79,83,91,95,103,107
2108,147,151,151,155,159,159
2109,187,187,187,187,187,187
2110,199,199,199,195,195,195
2111,187,187,187,183,183,183
2112,163,163,163,163,167,167
2113,147,143,147,147,147,151
2114,135,131,131,131,131,135
2115,111,107,107,103,107,107
2116,75,75,71,71,75,75
2117,71,79,83,87,95,99
2118,107,119,123,127,131,135
2119,127,139,143,147,155,159
2120,127,139,147,151,159,163
2121,123,135,139,143,151,151
2122,119,127,131,135,139,143
2123,119,123,127,131,135,139
2124,103,111,111,115,123,127
2125,71,79,83,87,95,99
2126,31,39,43,51,59,63
2127,0,0,3,7,15,19
2128,0,0,0,0,0,0
2129,0,0,0,0,0,0
2130,31,39,39,43,43,43
2131,71,79,79,83,83,83
2132,83,91,91,95,95,95
2133,59,67,71,71,75,71
2134,7,15,15,19,19,19
2135,0,0,0,0,0,0
2136,0,0,0,0,0,0
2137,0,0,0,0,0,0
2138,0,0,0,0,0,0
2139,0,0,0,0,0,0
